,Sr No,Date,Startup,Vertical,SubVertical,City,Investors,Type,Amount,Month,Year
1591,1617,2016-06-17,Silvan Innovation Labs,Technology,Home Automation Solutions,Bangalore,Infuse Ventures,Private Equity,7.38,6,2016
1592,1618,2016-06-17,GreytHR,Technology,Payroll & HR Software Developer,Bangalore,"New Enterprise Associates , Blume Ventures",Private Equity,42.64,6,2016
1593,1619,2016-06-17,Duffl,eCommerce,Fashion Rental Marketplace,Bangalore,BetOnIndia Technology Pvt Ltd,Seed Funding,0.0,6,2016
1594,1620,2016-06-17,BYG,Consumer Internet,Fitness centre Discovery & Booking Mobile app,Bangalore,"Sanjay Verma, Amit Khanna",Seed Funding,0.0,6,2016
1595,1621,2016-06-20,Dipper,eCommerce,Freight Logistics Marketplace,New Delhi,Undisclosed investor,Seed Funding,0.0,6,2016
1596,1622,2016-06-20,Qonfuse,Consumer Internet,Online Test Papers for competitive exams,New Delhi,Hamraj Kumar,Seed Funding,0.0,6,2016
1597,1623,2016-06-20,The Indian IRIS,Consumer Internet,Govt Policy Research & Information portal,Ahmedabad,Timbru Ventures,Seed Funding,0.0,6,2016
1598,1624,2016-06-21,Onspoon,Consumer Internet,Online Platform for Event Sponsorship,Mumbai,Swan Angel Network,Seed Funding,1.23,6,2016
1599,1625,2016-06-21,REstate,Consumer Internet,Real Estate Platform,Bangalore,Idein Ventures,Seed Funding,0.0,6,2016
1600,1626,2016-06-21,Cleartrip,Consumer Internet,Online Travel Agency,Mumbai,"Concur Technologies, Gund Investment",Private Equity,0.0,6,2016
1601,1627,2016-06-21,ProcMart,Consumer Internet,Online Procurement Marketplace,Noida,IndiaMart,Private Equity,0.0,6,2016
1602,1628,2016-06-21,Celerix,Technology,Fintech Product Development & Services Startup,Bangalore,Bitkemy Ventures,Seed Funding,3.28,6,2016
1603,1629,2016-06-21,NatureNama,Consumer Internet,Online Outdoors & travel,Mumbai,Unicorn Venture,Seed Funding,1.845,6,2016
1604,1630,2016-06-21,CyclopsMedtech,Technology,Medical Technology Provider,Bangalore,CP Bothra,Seed Funding,0.0,6,2016
1605,1631,2016-06-21,Syona Cosmetics,FMCG,Beauty Products & Training to Salons & Spas,Chennai,The Chennai Angels,Seed Funding,1.23,6,2016
1606,1632,2016-06-21,PrettySecrets,eCommerce,Women Lingerie Store,Mumbai,"RB Investments PTE Ltd, Orios Venture Partners",Private Equity,49.2,6,2016
1607,1633,2016-06-22,SpiderG,Consumer Internet,Online invoice app for SMEs,Pune,"Rahul Kirloskar, Fusion Tech Ventures, Adi Saravanan, Pravin Dongre, Mahendra Doshi",Seed Funding,1.23,6,2016
1608,1634,2016-06-23,FarEye,Technology,Logistics Management Software,New Delhi,Saif Partners,Private Equity,28.7,6,2016
1609,1635,2016-06-23,The Uolo,Consumer Internet,School Parent Communication App,Bangalore,"Purvi Ventures, Rajul Garg, Vipin Arora",Seed Funding,1.722,6,2016
1610,1636,2016-06-23,Staqu,Technology,Artificial Intelligence based search platform,Gurgaon,Indian Angel Network,Seed Funding,0.0,6,2016
1611,1637,2016-06-23,Padhopadhao,Consumer Internet,Home Tutors search & Discovery,New Delhi,Rise India,Private Equity,0.0,6,2016
1612,1638,2016-06-24,Drivify,Consumer Internet,Professional Driver discovery & Booking Mobile app,Mumbai,"Jitendra Gupta, Pankaj Tripathi",Seed Funding,0.41,6,2016
1613,1639,2016-06-24,PratiLipi,Consumer Internet,Multi-Lingual self-publishing platform,Bangalore,Nexus Venture Partners,Seed Funding,0.0,6,2016
1614,1640,2016-06-24,ParaBlu,Technology,Cloud Data Security & Privacy Solutions,Bangalore,Kalaari Capital,Seed Funding,4.1,6,2016
1615,1641,2016-06-24,Schedulers Logistics,Logistics,Cold Storage Logistics solutions,Mumbai,GVFL,Private Equity,49.2,6,2016
1616,1642,2016-06-24,LEAP India,Others,Supply Chain Equipment & Services provider,Mumbai,Mayfield Ventures,Private Equity,24.6,6,2016
1617,1643,2016-06-24,KabadiExpress,Others,Free Door Step Scrap Pickup Service,New Delhi,Undisclosed investor,Seed Funding,1.2136,6,2016
1618,1644,2016-06-27,YourDost,Consumer Internet,Online counselling & Personal coaching platform,Bangalore,"SAIF Partners, Aprameya Radhakrishnan, Phanindra Sama, Subba Rao Telidevara, Vibhu Garg, Paula Ravindra Mariwala, Gaurav Bhalotia",Seed Funding,9.84,6,2016
1619,1645,2016-06-27,Gomalon,Consumer Internet,Online Spa & Salon discovery & Booking platform,Bangalore,Undisclosed investor,Seed Funding,0.82,6,2016
1620,1646,2016-06-27,Voler Cars,Consumer Internet,Self-Driven Car rental platform,New Delhi,"Kanodia family, Amit Banka",Seed Funding,0.0,6,2016
1621,1647,2016-06-27,Travelyaari,Consumer Internet,Online ticket booking platform,Bangalore,GVFL Ltd,Private Equity,24.6,6,2016
1622,1648,2016-06-28,FabHotels,Consumer Internet,Online Hotel aggregator & Booking platform,Gurgaon,"Accel Partners, RB Investments",Private Equity,65.6,6,2016
1623,1649,2016-06-28,Locanix,Technology,GPS based SaaS Solutions,Ahmedabad,Undisclosed investors,Seed Funding,2.46,6,2016
1624,1650,2016-06-28,LendingKart,Consumer Internet,Online Working Capital Business Loans Platform,Ahmedabad,"Bertelsmann India Investments, Mayfield India, Saama Capital, India Quotient",Private Equity,262.4,6,2016
1625,1651,2016-06-28,Hello Tax,Consumer Internet,Online Tax Filing Platform,New Delhi,Sanjeev Sinha,Seed Funding,2.419,6,2016
1626,1652,2016-06-28,MySuperBrain,Consumer Internet,Online Talent Discovery Platform for Kids,Hyderabad,Soniks Consulting,Seed Funding,0.0,6,2016
1627,1653,2016-06-28,BlogBeats,Consumer Internet,Online Blogging Platform,Bangalore,Undisclosed Investor,Seed Funding,0.0,6,2016
1628,1654,2016-06-29,LetReach,eCommerce,ECommerce SAAS Solutions,New Delhi,vCommission,Private Equity,0.82,6,2016
1629,1655,2016-06-29,TrendieApp,Technology,Visual Content Marketing,Kolkata,Harsh Vardhan Hada,Seed Funding,0.41,6,2016
1630,1656,2016-06-29,ImpactGuru,Consumer Internet,Crowdfunding Platform,Mumbai,Piyush Jain,Seed Funding,0.0,6,2016
1631,1657,2016-06-29,Velvetcase,eCommerce,Online designer jewellery marketplace,Mumbai,"Uniqorn Ventures Fund, TV Mohandas Pai, S Somasegar",Private Equity,12.3,6,2016
1632,1658,2016-06-30,Meru Cabs,Consumer Internet,Online/ Mobile Tax Cab booking,Mumbai,Brand Capital,Private Equity,205.0,6,2016
1633,1659,2016-06-30,Campus Diaries,Consumer Internet,Student focussed Content Discovery portal,Bangalore,Aarin Capital,Seed Funding,1.804,6,2016
1634,1660,2016-06-30,Scripbox,Consumer Internet,Online Mutual Fund Investment platform,Bangalore,"Omidyar Network, Accel Partners & existing investors",Private Equity,0.0,6,2016
1635,1661,2016-06-30,Biryani Blues,Food & Beverage,QSR Chain,Gurgaon,Carpediem Capital,Private Equity,3.0176,6,2016
1636,1662,2016-01-05,MotoMojo,Consumer Internet,Mobile based Vehicle maintenance App,Mumbai,"Niloufer Dundh, Fauzan Rahim, Balamurugan Mani,",Seed Funding,0.0,1,2016
1637,1663,2016-01-05,Get My Parking,Technology,Parking Technology Platform,New Delhi,The Chennai Angels,Seed Funding,3.0832,1,2016
1638,1664,2016-01-05,Prescribez,Consumer Internet,Health Service Aggregator Platform,Pune,Ankush Mehta,Seed Funding,1.189,1,2016
1639,1665,2016-02-05,Airwood,Technology,Agri Data & Analytics Platform,Chennai,StartupXseed Ventures,Seed Funding,0.0,2,2016
1640,1666,2016-03-05,Mobikwik,Consumer Internet,Mobile & Digital Wallet,Gurgaon,"GMO Payment Gateway, MediaTek",Private Equity,410.0,3,2016
1641,1667,2016-03-05,iDreamCareer,Consumer Internet,Career Planning Services Portal,New Delhi,Brand Capital,Private Equity,0.0,3,2016
1642,1668,2016-03-05,Zwayam,Consumer Internet,Online Recruitment Platform,Bangalore,Undisclosed investors,Seed Funding,2.05,3,2016
1643,1669,2016-03-05,BoiBanit,Consumer Internet,Online Food Delivery platform,Vadodara,Undisclosed investors,Seed Funding,0.0,3,2016
1644,1670,2016-03-05,Zuver,Consumer Internet,Car driver Discovery App,Mumbai,"Shruth & Smith Group, Hermes Group",Seed Funding,1.476,3,2016
1645,1671,2016-03-05,Prepathon,Education,Competitive Exam learning platform,Mumbai,Blume Ventures,Private Equity,0.0,3,2016
1646,1672,2016-04-05,EasyRoads,Consumer Internet,Road Trip planning Mobile app,Mumbai,"Rohan Angrish, Hrishi Oberoi, Rahul Mehta, Kapil Hetamsaria, Pranav Dedhia",Seed Funding,1.64,4,2016
1647,1673,2016-04-05,Lenskart,eCommerce,Eyewear & Accessories etailer,New Delhi,"International Finance Corp, TPG Growth, Adveq Management, IDG Ventures, Ratan Tata, Kris Gopalakrishnan",Private Equity,492.0,4,2016
1648,1674,2016-04-05,Seclore,Technology,Enterprise Security Technology platform,Mumbai,"Sistema Asia Fund, Helion Venture, VentureEast, India Alternatives",Private Equity,98.4,4,2016
1649,1675,2016-04-05,SolarTown,Technology,Solar Rooftop system installation company,Chennai,Grex.in,Seed Funding,1.64,4,2016
1650,1676,2016-04-05,Comarete,Technology,Telecom & Media IT services company,Pune,Grex.in,Seed Funding,1.64,4,2016
1651,1677,2016-04-05,MyDentistChoice,eCommerce,Medical Supplies eTailer,Hyderabad,Undisclosed investors,Seed Funding,1.23,4,2016
1652,1678,2016-04-05,Active.ai,Technology,Intelligent Tech platform for Finance vertical,Singapore,Kalaari Capital Accelerator Program,Seed Funding,4.1,4,2016
1653,1679,2016-04-05,Affordplan,Technology,Affordable non-emergency medical service health plans,New Delhi,Kalaari Capital Accelerator Program,Seed Funding,4.1,4,2016
1654,1680,2016-04-05,Indee,Consumer Internet,Web Video Streaming Platform,Bangalore,Kalaari Capital Accelerator Program,Seed Funding,4.1,4,2016
1655,1681,2016-05-05,Unbxd,Technology,eCommerce product discovery software,New Delhi,"IDG Ventures, Inventus Capital, Indian Angel Network",Private Equity,0.0,5,2016
1656,1682,2016-05-05,WebAlligator,Consumer Internet,Cloud Based Software Solutions,Bangalore,Group of undisclosed Angel Investors & HNIs,Seed Funding,3.075,5,2016
1657,1683,2016-06-05,EduAce Services,Education,Education Workshops & mentoring programs,Lucknow,MoMagic Technologies,Private Equity,8.2,6,2016
1658,1684,2016-06-05,Meesho,eCommerce,Social commerce platform,Bangalore,Rajul Garg,Seed Funding,0.0,6,2016
1659,1685,2016-07-05,Zebroads,Logistics,Logistics and Warehousing services,Hyderabad,Undisclosed investors,Seed Funding,0.615,7,2016
1660,1686,2016-09-05,Locus,Technology,Logistics Intelligence platform,Bangalore,"Exfinity Venture Partners, Blume Ventures, BeeNext, Rajesh Ranavat",Private Equity,22.55,9,2016
1661,1687,2016-09-05,Toko Innovations,Consumer Internet,Childrens Entertainment Portal,Bangalore,"Roopak Saluja, Vishal Khare",Seed Funding,3.69,9,2016
1662,1688,2016-09-05,Rentickle,eCommerce,"Furniture, appliances Portal",New Delhi,"Manish Kheterpal, Vinay Mittal, Dinesh Mittal, Sandeep Gupta",Seed Funding,2.05,9,2016
1663,1689,2016-10-05,HealthifyMe,Consumer Internet,Health & Fitness App,Bangalore,"IDG Ventures India, Inventus Capital, Blume Ventures",Private Equity,49.2,10,2016
1664,1690,2016-10-05,Zarget,Consumer Internet,Conversion Rate Optimization Platform,Chennai,"Accel Partners, Matrix Partners, Girish Mathrubootham",Private Equity,12.3,10,2016
1665,1691,2016-10-05,InnoNano Research,Technology,Clean Water Technology,Chennai,NanoHoldings,Private Equity,147.6,10,2016
1666,1692,2016-10-05,SchoolWear,eCommerce,School Uniform & Supplies Marketplace,Mumbai,Undisclosed investors,Seed Funding,12.3,10,2016
1667,1693,2016-10-05,Swiggy,Consumer Internet,Food Delivery Platform,Bangalore,"Norwest Venture Partners, DST Global, Accel Partners",Private Equity,57.4,10,2016
1668,1694,2016-11-05,Zenify,Consumer Internet,Home rental Discovery & Booking Portal,Bangalore,Undisclosed Investors,Private Equity,7.38,11,2016
1669,1695,2016-11-05,Faircent,Consumer Internet,Online Peer to Peer Lending platform,Gurgaon,"JM Financial Products Ltd, Arun Tadanki, Doreswamy Nandkishore, Kshitij Jain",Private Equity,0.0,11,2016
1670,1696,2016-11-05,Fractal Analytics,Technology,Data Analytics Company,Mumbai,Khazanah Nasional Berhad,Private Equity,820.0,11,2016
1671,1697,2016-12-05,Unacademy,Consumer Internet,Free Online Education Platform,Bangalore,"Blume Ventures, Rajan Anandan, Sumit Jain, Aprameya Radhakrishna, Sujeet Kumar, Phanindra Sama",Seed Funding,4.1,12,2016
1672,1698,2016-12-05,Capital Float,Consumer Internet,Online Lending Platform,Bangalore,"Creation Investments Capital Management, SAIF Partners, Sequoia Capital, Aspada Ventures",Private Equity,205.0,12,2016
1673,1699,2016-12-05,Life Circle,Healthcare,Senior Healthcare Services,Hyderabad,GROUPE SOS,Private Equity,1.23,12,2016
1674,1700,2016-12-05,Dream Wallets,Consumer Internet,Online Crowdfunding platform,Jaipur,"Rakesh Gupta, Aditya Aggarwal, Siddharth Banerjee, Vikas Ranjan, Anshul Jindal, Sunil Koul, and Sanjeev Agrawal",Seed Funding,0.0,12,2016
1675,1701,2016-12-05,ShabdNagari,Consumer Internet,Hindi social networking portal,Kanpur,ah! Ventures,Seed Funding,0.0,12,2016
1676,1702,2016-12-05,Galleri5,Consumer Internet,Visual Content Discovery platform,Bangalore,"Phanindra Sama, Raghunandan G,",Seed Funding,0.0,12,2016
1677,1703,2016-12-05,Derbii,Logistics,Carpooling Services,Gurgaon,Anurag Chauhan,Seed Funding,0.0,12,2016
1678,1704,2016-05-13,StayZilla,Consumer Internet,Budget Room Aggregator Booking platform,Chennai,"Matrix Partners, Nexus Ventures",Private Equity,110.7,5,2016
1679,1705,2016-05-13,WoW Express,Logistics,E-Commerce Logistics Solutions,Mumbai,Undisclosed Investors & Tamarind Family Private Trust,Private Equity,18.04,5,2016
1680,1706,2016-05-16,Smartivity,eCommerce,Smart Learning products,Delhi,"S Chand, AdvantEdge Partners",Private Equity,8.2,5,2016
1681,1707,2016-05-16,BedBathMore,Consumer Internet,Home Decor eMarketplace,Mumbai,"Kinnevik Group, Rocket Internet",Private Equity,0.0,5,2016
1682,1708,2016-05-17,Murgency,Consumer Internet,Medical Emergency Response App,Mumbai,Rata Tata,Private Equity,0.0,5,2016
1683,1709,2016-05-17,Crownit,Consumer Internet,Mobile customer rewards management platform,Gurgaon,"Undisclosed investors, Accel Partners, Helion Venture Partners",Private Equity,0.0,5,2016
1684,1710,2016-05-17,Blinge,eCommerce,Apparel Rental platform,Mumbai,"Anupam Mittal, Anuj Srivastava, Ankit Nagori",Seed Funding,0.0,5,2016
1685,1711,2016-05-18,TheSmartQ,Consumer Internet,Food Ordering Mobile App,Bangalore,YourNest Angel Fund,Seed Funding,2.05,5,2016
1686,1712,2016-05-18,PurpleHealth,Consumer Internet,Online health-on-demand platform,Trivandrum,Katabole Technology Venture,Seed Funding,0.82,5,2016
1687,1713,2016-05-18,Fundamentor,Education,Aptitude Development Program,Pune,Subramanya SV,Seed Funding,0.0,5,2016
1688,1714,2016-05-18,EduPristine,Education,Online Certification Courses,Mumbai,"Kaizen Management Advisors, DeVry Inc",Private Equity,82.0,5,2016
1689,1715,2016-05-18,BhiveWorkspace,Reality,Co-Working Spaces,Bangalore,Blume Ventures,Private Equity,8.2,5,2016
1690,1716,2016-05-18,Parentlane,Consumer Internet,Parenting & Child Care app,Bangalore,"Sujeet Kumar, Aprameya, Sumit Jain, Subramanya Venkat, Venk, Ravi Machani, Hitesh Gupta, Rohit Choudhary",Seed Funding,0.0,5,2016
1691,1717,2016-05-19,Appie,Consumer Internet,Location-based offline retail discovery platform,Mumbai,Undisclosed investors,Seed Funding,8.2,5,2016
1692,1718,2016-05-19,Niki.ai,Technology,Artificial Intelligence Platform,Bangalore,Ratan Tata,Private Equity,0.0,5,2016
1693,1719,2016-05-19,TaxiVaxi,Consumer Internet,Cab Aggregating Platform,New Delhi,Undisclosed HNIs,Seed Funding,4.1,5,2016
1694,1720,2016-05-19,Veqta,Consumer Internet,On Demand Digital Sports Network,New Delhi,"Chatsworth Management, ITW Digital",Seed Funding,4.1,5,2016
1695,1721,2016-05-20,i2ifunding,Consumer Internet,Online Peer to Peer Funding,Noida,Undisclosed Investors,Seed Funding,2.46,5,2016
1696,1722,2016-05-23,EduRev,Consumer Internet,Online Learning Platform,Gurgaon,Pradeep Reddy Kamasan,Seed Funding,0.0,5,2016
1697,1723,2016-05-23,Hoppingo,Consumer Internet,Fashion Discovery platform,New Delhi,vCommission,Seed Funding,0.7298,5,2016
1698,1724,2016-05-24,Eatonomist,Consumer Internet,Food Delivery Platform,Gurgaon,MCube Capital Advisors Pvt Ltd,Seed Funding,0.0,5,2016
1699,1725,2016-05-24,Goalwise,Consumer Internet,Online investment platform,Bangalore,Undisclosed HNIs,Seed Funding,8.2,5,2016
1700,1726,2016-05-25,Roast,Consumer Internet,Mobile entertainment App,New Delhi,Indian Angel Network,Seed Funding,0.0,5,2016
1701,1727,2016-05-25,Address Health,Healthcare,Pediatric Primary Healthcare Network,Bangalore,Gray Matters Capital,Private Equity,12.3,5,2016
1702,1728,2016-05-25,Arcatron Mobility,Technology,Mobility Devices for differently abled,Pune,Sudhir Mehta,Seed Funding,0.82,5,2016
1703,1729,2016-05-25,SheThePeople,Consumer Internet,Digital platform for Women,New Delhi,Anand Mahindra,Seed Funding,0.0,5,2016
1704,1730,2016-05-26,Cleartax,Consumer Internet,Online Income Tax Filing platform,Bangalore,"FF Angel, Sequoia Capital",Private Equity,16.4,5,2016
1705,1731,2016-05-26,Consure Medical,Healthcare,Medical Devices Kit manufacturer,New Delhi,"Accel Partners, Indian Angel Network, India Innovation Fund India Venture Partners",Private Equity,0.0,5,2016
1706,1732,2016-05-26,mChamp,Consumer Internet,Celebrity Entertainment Contest App,New Delhi,MoMagic Technologies,Seed Funding,3.895,5,2016
1707,1733,2016-05-27,Pianta,Consumer Internet,Online healthcare service discovery platform,Bangalore,"Kunal Shah, Sandeep Tandon",Seed Funding,0.0,5,2016
1708,1734,2016-05-30,Vahanalytics,Technology,Safe driving Analytics platform,Mumbai,"Anirudh Damani, Vikram Lakhotia",Seed Funding,1.64,5,2016
1709,1735,2016-05-31,Play Your Sport,Consumer Internet,Location based Sports & Fitness Discovery App,New Delhi,Ashish Gupta,Seed Funding,0.0,5,2016
1710,1736,2016-05-31,Koovs,eCommerce,Apparel & Lifestyle eTailer,New Delhi,HT Media Ltd,Private Equity,36.08,5,2016
1711,1737,2016-05-31,CCavenue,Consumer Internet,Payment Gateway,Mumbai,NSI Infinium Global Pvt. Ltd,Private Equity,72.98,5,2016
1712,1738,2016-05-31,1mg,eCommerce,Online Pharmacy,Gurgaon,HBM Healthcare Investments,Private Equity,0.0,5,2016
1713,1739,2016-05-31,Tpot,Food & Beverage,QSR Chain,Gurgaon,Ashish Gupta,Seed Funding,0.0,5,2016
1714,1740,2016-05-31,MachaDalo,Consumer Internet,Hyperlocal Advertising Platform,Mumbai,Undisclosed Investors,Seed Funding,1.435,5,2016
1715,1741,2016-01-04,Dil Mil,Consumer Internet,Matchmaking Mobile App,SFO / Bangalore,"Nelstone Ventures, Transmedia Capital, Maiden Lane Ventures, CSC Upshot & Angel investors",Private Equity,22.14,1,2016
1716,1742,2016-01-04,PicsDream,Consumer Internet,Online Marketplace for Photographers,Delhi,Raman Roy,Seed Funding,0.0,1,2016
1717,1743,2016-01-04,Process 9,Consumer Internet,online translation and transliteration,Gurgaon,"Indian Angel Network, Alok Sharma, Kris Gopalakrishnan, Saurabh Srivastava, and Ajai Chowdhry",Seed Funding,0.0,1,2016
1718,1744,2016-04-04,Housing,Consumer Internet,Real Estate Portal,Mumbai,Vineet Singh,Private Equity,0.0,4,2016
1719,1745,2016-04-04,Roll Mafia,Food & Beverage,Rolls & Biryanis QSR chain,Pune,Equentia Natural Resource  undisclosed investors,Seed Funding,0.0,4,2016
1720,1746,2016-04-04,Hungama,Consumer Internet,Digital Media Entertainment Portal,Mumbai,Xiaomi Inc,Private Equity,205.0,4,2016
1721,1747,2016-04-04,Highway Delite,Consumer Internet,Various Highway Help Services,Bangalore,N.S. Raghavan Centre for Entrepreneurial Learning,Seed Funding,0.0,4,2016
1722,1748,2016-05-04,Cult Fitness,Healthcare,Healthcare training programs,Bangalore,Mukesh Bansal,Seed Funding,0.0,5,2016
1723,1749,2016-05-04,Haptik,Technology,Personal Assistant App,Mumbai,Times Internet Ltd,Private Equity,0.0,5,2016
1724,1750,2016-05-04,Servify,Consumer Internet,Gadget & Appliances Service App,Mumbai,"Blume Ventures, Barkawi Holdings GmbH, TM Service Technology Holdings GmbH",Private Equity,0.0,5,2016
